training_sample_size,sampling_seed,candidate_rank,state_id,visited_count,support_fraction,minimum_support_used,minimum_support_fraction_used,logistic_regression_coefficient,positive_logistic_score,random_forest_importance,empirical_target_probability_if_visited,empirical_target_probability_if_not_visited,empirical_probability_difference,support_weight,combined_ranking_score
2500,456,12,95,17,0.0068,13,0.0052,0.04021694176795803,0.05740136661071287,0.00885556342928411,0.47058823529411764,0.28272251308900526,0.18786572220511238,0.5666666666666667,0.24193888524744622
2500,456,13,51,52,0.0208,13,0.0052,0.2726047309204965,0.38908687263359404,0.01102734620748771,0.3269230769230769,0.28308823529411764,0.04383484162895929,0.8,0.24017853704813713
2500,456,14,68,184,0.0736,13,0.0052,0.12683066279176275,0.18102453971748933,0.015420038385339736,0.30978260869565216,0.2819516407599309,0.027830967935721262,0.934010152284264,0.22362062200893407
2500,456,15,93,108,0.0432,13,0.0052,0.30204489423226927,0.43110661687692,0.006142881647167042,0.3055555555555556,0.2830267558528428,0.022528799702712765,0.8925619834710744,0.21005822504010088
2500,456,16,44,52,0.0208,13,0.0052,0.2726047309204965,0.38908687263359404,0.006031530018702516,0.3269230769230769,0.28308823529411764,0.04383484162895929,0.8,0.20656282097001888
2500,456,17,49,214,0.0856,13,0.0052,-0.3663439179108468,0.0,0.018646234732816472,0.3130841121495327,0.28127734033245844,0.03180677181707425,0.9427312775330396,0.20105456402346267
2500,456,18,63,37,0.0148,13,0.0052,0.043434661995932364,0.06199399673963576,0.02067177697231528,0.32432432432432434,0.2833942346731628,0.040930089651161516,0.74,0.1976963656859293
2500,456,19,98,97,0.0388,13,0.0052,0.22714829983431367,0.3242072186646924,0.006706384363487655,0.30927835051546393,0.28297960882230544,0.02629874169315849,0.8818181818181818,0.18618581521541053
2500,456,20,62,441,0.1764,13,0.0052,0.00915032205700806,0.013060192245122088,0.021544002137724803,0.2789115646258503,0.2850898494414764,-0.0061782848156261005,0.9713656387665198,0.18024591672988693
2500,789,1,62,446,0.1784,13,0.0052,0.7388717414958339,1.0,0.01724167978163091,0.3094170403587444,0.27848101265822783,0.030936027700516566,0.971677559912854,0.47463289281267457
2500,789,2,61,28,0.0112,13,0.0052,0.5012644701316231,0.6784187863468987,0.015467386579268298,0.4642857142857143,0.281957928802589,0.18232778548312528,0.6829268292682927,0.4424719148650609
2500,789,3,86,1531,0.6124,13,0.0052,0.36365617046588095,0.49217766770950655,0.042852275867405976,0.2847811887655127,0.28276573787409703,0.0020154508914156932,0.991580310880829,0.4092699198671805
2500,789,4,78,99,0.0396,13,0.0052,0.49612759728614014,0.671466466266172,0.01283855903502767,0.31313131313131315,0.282798833819242,0.03033247931207117,0.8839285714285714,0.31174281106761115
2500,789,5,87,135,0.054,13,0.0052,-0.6306267900820902,0.0,0.05830212655719809,0.25925925925925924,0.2854122621564482,-0.02615300289718897,0.9121621621621622,0.30405405405405406
2500,789,6,93,93,0.0372,13,0.0052,0.46920226973653983,0.6350253276524657,0.006336423089694199,0.3118279569892473,0.2829248026589115,0.0289031543303358,0.8773584905660378,0.26385998106166925
