training_sample_size,sampling_seed,random_repeat,random_seed,exact_probability_raising_count,mean_exact_probability_difference,mean_exact_candidate_reachability
500,789.0,66,505354,11,0.028218764329690164,0.2243155726856561
500,789.0,67,505355,8,0.03128141348865749,0.389393333695933
500,789.0,68,505356,8,0.014885936863613758,0.27626736509190464
500,789.0,69,505357,7,0.005415911157801129,0.37425371437069965
500,789.0,70,505358,13,0.03996073070551047,0.27023148582065637
500,789.0,71,505359,12,0.0149929822887338,0.2764690912486826
500,789.0,72,505360,12,0.03445109614687643,0.22108363660128738
500,789.0,73,505361,9,0.008334583022020446,0.27069173115674444
500,789.0,74,505362,10,0.02317512315149211,0.2998770735212382
500,789.0,75,505363,9,0.01736653788165041,0.31196001321417877
500,789.0,76,505364,10,0.011219816735168999,0.30092043961775083
500,789.0,77,505365,11,0.023151706847507694,0.21912301115486005
500,789.0,78,505366,11,0.01299385585934626,0.16935439430808386
500,789.0,79,505367,8,0.022053702976786223,0.23280372912103403
500,789.0,80,505368,7,0.004914530312907275,0.362524506283206
500,789.0,81,505369,10,0.020040756136914285,0.2703658965022512
500,789.0,82,505370,11,0.016501429096082914,0.3277360737700791
500,789.0,83,505371,9,0.013621882551379225,0.2602353255277201
500,789.0,84,505372,11,0.018366845650009424,0.30477362639144695
500,789.0,85,505373,8,0.0118198163323742,0.3061087833179767
500,789.0,86,505374,11,0.03044343363886819,0.25198181015817195
500,789.0,87,505375,11,0.027218574645677403,0.22276017914579244
500,789.0,88,505376,10,0.022846522767751176,0.3593875636503578
500,789.0,89,505377,12,0.02931300461808154,0.26584135185158747
500,789.0,90,505378,11,0.03534392080247495,0.22832483281998756
500,789.0,91,505379,10,0.022704408116721256,0.3400300551055354
500,789.0,92,505380,13,0.03647964483697648,0.2777933106278513
500,789.0,93,505381,9,0.01932663582819606,0.25450565056866076
500,789.0,94,505382,6,0.013461694600731516,0.4185340757181811
500,789.0,95,505383,12,0.03892264671004661,0.2044978512279414
500,789.0,96,505384,9,0.01355266367215909,0.3113302649932365
500,789.0,97,505385,11,0.032587874355960895,0.2883573266307115
500,789.0,98,505386,12,0.04427471806315535,0.34181770320218435
500,789.0,99,505387,11,0.02654131791154877,0.12731501350547117
500,789.0,100,505388,12,0.03533036851561068,0.18684338924895066
500,2026.0,1,506526,8,0.010516767595166652,0.3482916705616297
500,2026.0,2,506527,9,0.030254887022611966,0.2562053913905945
500,2026.0,3,506528,8,0.01650326678979401,0.31586225821181463
500,2026.0,4,506529,6,0.019459752131605165,0.40105186220280953
500,2026.0,5,506530,9,0.016330663034638725,0.23491814631955169
500,2026.0,6,506531,9,0.0153536620513284,0.37965223164762996
500,2026.0,7,506532,12,0.02849221578597503,0.17115908520800033
500,2026.0,8,506533,12,0.028596152174264738,0.24161883925670638
500,2026.0,9,506534,9,0.01939055462628596,0.342297444776238
500,2026.0,10,506535,9,0.023266778469363994,0.28649443579263795
500,2026.0,11,506536,10,0.028038046946898855,0.2414533645240474
500,2026.0,12,506537,5,0.00249045389212282,0.34936889411243555
500,2026.0,13,506538,7,0.010574674037270625,0.38200006130084
500,2026.0,14,506539,8,0.014528460546544681,0.2988867743474867
500,2026.0,15,506540,7,0.013344502805886418,0.3258235864311745
500,2026.0,16,506541,7,0.007816643491835988,0.32622265003246
500,2026.0,17,506542,13,0.04130621486486829,0.22998496537389607
500,2026.0,18,506543,8,0.02306514905003776,0.191066693472546
500,2026.0,19,506544,13,0.043386874811606704,0.1730812506061945
500,2026.0,20,506545,12,0.0345871952998101,0.2910991800897095
500,2026.0,21,506546,9,0.020870251913865812,0.1889892013104509
500,2026.0,22,506547,11,0.02321710969085621,0.23785357267027588
500,2026.0,23,506548,9,0.01922008047139383,0.32293586875264324
500,2026.0,24,506549,9,0.01746007261009607,0.24439901878517234
500,2026.0,25,506550,9,0.007101287535925466,0.2293865867953937
500,2026.0,26,506551,13,0.026855916930640843,0.2183562832714035
500,2026.0,27,506552,8,0.014033902309315513,0.3892543280886141
500,2026.0,28,506553,11,0.038019586801736,0.2948106608531703
500,2026.0,29,506554,8,0.010821031277156598,0.4301275716192697
500,2026.0,30,506555,13,0.027481835810937872,0.1989034883598364
500,2026.0,31,506556,8,0.0037121266125937505,0.25802596517041326
500,2026.0,32,506557,7,0.012799413235812745,0.2753113385796447
500,2026.0,33,506558,7,0.016966833371480895,0.26886506554476675
500,2026.0,34,506559,10,0.02562091913886355,0.2623980177671278
500,2026.0,35,506560,11,0.0305362862891209,0.22541993482460568
500,2026.0,36,506561,7,0.017263268963449627,0.26145699979690684
500,2026.0,37,506562,7,0.00580712072889882,0.30857402187259525
500,2026.0,38,506563,12,0.03081830050424552,0.1851135038142859
500,2026.0,39,506564,12,0.022064357567825852,0.2890684745960429
500,2026.0,40,506565,8,0.01688477898592871,0.30213862154277915
500,2026.0,41,506566,5,0.013112075228147243,0.37833616584326263
500,2026.0,42,506567,11,0.0386407069894925,0.2689129818683403
