rank,state_id,logistic_regression_coefficient,absolute_logistic_regression_coefficient,random_forest_feature_importance,total_retained_trace_count,visited_trace_count,target_traces_when_visited,success_traces_when_visited,target_probability_when_visited,target_probability_when_not_visited,probability_difference,probability_ratio,support_fraction,normalized_positive_logistic_coefficient,normalized_random_forest_importance,normalized_positive_probability_difference,support_reliability_weight,combined_ranking_score
48,70,-0.048080556040545876,0.048080556040545876,0.012551414613740687,9723,1649,542,1107,0.3286840509399636,0.32325984642060934,0.00542420451935427,1.0167797039422477,0.16959786074256916,0.0,0.18272991636366487,0.024704049180052846,0.9705709240729841,0.06710979187396321
49,39,0.027717360207551237,0.027717360207551237,0.006899146430363458,9723,1782,593,1189,0.3327721661054994,0.32225160559123533,0.010520560514264088,1.0326470383133142,0.18327676643011417,0.05565573860950038,0.10044130394838995,0.04791494189032574,0.972707423580786,0.06614799059074253
50,40,-0.02967671790880023,0.02967671790880023,0.005429732229024574,9723,392,139,253,0.35459183673469385,0.32290215410995604,0.031689682624737814,1.098140201981888,0.040316774658027354,0.0,0.07904882012267932,0.14432779502845625,0.8868778280542986,0.06603592242778668
51,53,-0.02967671790880023,0.02967671790880023,0.004413561967611364,9723,392,139,253,0.35459183673469385,0.32290215410995604,0.031689682624737814,1.098140201981888,0.040316774658027354,0.0,0.06425489349420187,0.14432779502845625,0.8868778280542986,0.06166245392223376
52,43,-0.22382618858579204,0.22382618858579204,0.008220256752557605,9723,1204,407,797,0.3380398671096346,0.32222091794811597,0.015818949161518603,1.0490934892192993,0.1238300935925126,0.0,0.11967470401609473,0.07204597405361728,0.960127591706539,0.061358770971805754
53,33,0.027717360207551237,0.027717360207551237,0.005597874235612192,9723,1782,593,1189,0.3327721661054994,0.32225160559123533,0.010520560514264088,1.0326470383133142,0.18327676643011417,0.05565573860950038,0.08149671749094396,0.04791494189032574,0.972707423580786,0.060005477296133966
54,60,-0.15516132199403787,0.15516132199403787,0.012411915361370865,9723,683,222,461,0.32503660322108346,0.3241150442477876,0.0009215589732958773,1.0028433082316024,0.07024580890671603,0.0,0.1806990148674761,0.004197157042546506,0.931787175989086,0.05742796062507751
55,9,0.048667778100848366,0.048667778100848366,0.004922329108547276,9723,8328,2671,5657,0.3207252641690682,0.34480286738351257,-0.024077603214444354,0.9301699449393973,0.8565257636531934,0.09772363300124264,0.07166178586233576,0.0,0.994031988541418,0.05612484158096128
56,6,0.048667778100848366,0.048667778100848366,0.004703419366195257,9723,8328,2671,5657,0.3207252641690682,0.34480286738351257,-0.024077603214444354,0.9301699449393973,0.8565257636531934,0.09772363300124264,0.06847478581953706,0.0,0.994031988541418,0.055068848250953026
57,86,0.001180646480327914,0.001180646480327914,0.011217595458772968,9723,5859,1828,4031,0.31199863457927973,0.34265010351966874,-0.030651468940389004,0.9105458640591668,0.6025917926565875,0.0023707074341608922,0.16331149460547653,0.0,0.991538331358944,0.054760084715419176
58,2,0.048667778100848366,0.048667778100848366,0.004251012888015177,9723,8328,2671,5657,0.3207252641690682,0.34480286738351257,-0.024077603214444354,0.9301699449393973,0.8565257636531934,0.09772363300124264,0.061888420818915935,0.0,0.994031988541418,0.05288649575134403
59,55,-0.037186082653853016,0.037186082653853016,0.006606628584126637,9723,787,266,521,0.33799237611181704,0.3229632945389436,0.015029081572873415,1.0465349525069982,0.08094209606088655,0.0,0.09618267946480247,0.06844859351864745,0.94026284348865,0.05159888962085826
60,77,-0.048080556040545876,0.048080556040545876,0.009197878744961752,9723,1649,542,1107,0.3286840509399636,0.32325984642060934,0.00542420451935427,1.0167797039422477,0.16959786074256916,0.0,0.13390742521962518,0.024704049180052846,0.9705709240729841,0.05131456175889131
61,48,-0.00878348243652417,0.00878348243652417,0.010539200226820823,9723,7559,2427,5132,0.32107421616615955,0.33502772643253237,-0.013953510266372815,0.9583511776325093,0.777434948061298,0.0,0.15343506969155363,0.0,0.9934288342752005,0.05080894080687142
62,4,0.048667778100848366,0.048667778100848366,0.0033369338953097016,9723,8328,2671,5657,0.3207252641690682,0.34480286738351257,-0.024077603214444354,0.9301699449393973,0.8565257636531934,0.09772363300124264,0.04858079111923263,0.0,0.994031988541418,0.04847709254696101
63,98,-0.09119440502104122,0.09119440502104122,0.006403461774843318,9723,400,135,265,0.3375,0.32360828059637453,0.013891719403625491,1.042927577063308,0.04113956597757894,0.0,0.0932248730970986,0.06326858032696617,0.8888888888888888,0.04636843064416735
64,88,-0.14425130269733544,0.14425130269733544,0.009496741408572386,9723,959,312,647,0.32533889468196037,0.32405294386125055,0.0012859508207098136,1.0039683355608102,0.09863210943124551,0.0,0.13825842080111186,0.005856746773576014,0.9504459861248761,0.04565789418702532
65,85,-0.19658527576989865,0.19658527576989865,0.0050714052328591505,9723,298,102,196,0.3422818791946309,0.32360742705570295,0.018674452138927933,1.0577071184948839,0.030648976653296307,0.0,0.07383211236063392,0.08505110425031297,0.8563218390804598,0.0453517227491017
